SKC,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q6,Q9,Q13,Q13_1_TEXT,Q14,Q16,Q19,Q20,Q21,Q22,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q34,Q35,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q38,Q39,Q40,Q42,Q43,Q43_1_TEXT,Q44,Q45
0,7/20/21 14:27,7/20/21 14:34,16,172.58.47.104,100,460,1,7/23/21 10:20,R_bhesYRpQZosckFG,,,,,47.25619507,-122.4375,,EN,1,1,,2,1,1,2,1,2,1,2,2,2,2,2,2,,,2,,,,2,2,,,,,,,,,,,,,4,1,55,1,3
0,7/23/21 11:14,7/23/21 11:19,16,172.58.139.174,100,290,1,7/23/21 12:08,R_1Je7c5dQaijGxkl,,,,,41.7696991,-87.69850159,,EN,1,2,,2,1,1,30,1,2,1,2,1,2,1,2,1,1,2,1,2,2,1,3,1,-99,-99,-99,-99,-99,1,-99,-99,-99,2,1,1,1,2,-99,1,7
0,7/23/21 13:05,7/23/21 13:16,16,172.58.44.236,100,638,1,7/23/21 13:16,R_3aMKSdnRh70sNAY,,,,,47.32359314,-122.3186951,,EN,2,,1,2,1,1,5,1,1,1,1,2,2,1,1,1,1,3,2,,,,3,2,,,,,,,,,,,,,2,1,28,6,7
0,7/27/21 17:34,7/27/21 17:42,16,35.133.3.136,100,437,1,7/27/21 18:01,R_1xGwW6J1IyL9oPG,,,,,47.68609619,-114.1324005,,EN,1,1,,2,1,1,4,1,1,2,1,2,2,1,2,2,,,1,3,2,1,3,2,,,,,,,,,,,,,3,1,30,2,2
0,8/3/21 14:06,8/3/21 14:15,16,35.133.3.136,100,525,1,8/3/21 17:53,R_5CrINHlrwKuL9Po,,,,,47.68609619,-114.1324005,,EN,2,,1,2,1,1,4,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,5,1,31,2,2
0,8/3/21 14:44,8/3/21 14:48,16,107.127.39.21,100,231,1,8/3/21 17:41,R_d0VIvuDIPDyhHGu,,,,,39.10290527,-94.57129669,,EN,2,,1,2,1,1,1,2,1,1,2,1,1,1,2,1,3,3,2,,,,4,2,,,,,,,,,,,,,1,1,51,4,4
0,8/3/21 16:00,8/3/21 16:15,16,35.133.3.136,100,912,1,8/3/21 17:53,R_2qph2H5Q8ZX5sTk,,,,,47.68609619,-114.1324005,,EN,2,,1,2,1,1,1,2,2,2,2,2,2,1,2,2,,,1,2,2,2,2,1,-99,-99,-99,-99,-99,-99,-99,1,-99,3,4,2,1,1,42,3,2
0,8/6/21 11:09,8/6/21 11:16,16,172.58.44.219,100,424,1,8/6/21 13:44,R_dbcZ63fSH7A0X5C,,,,,47.21090698,-122.4147034,,EN,1,1,,2,1,1,1,1,1,1,2,2,1,1,1,2,,,1,1,2,2,3,1,-99,-99,-99,-99,-99,-99,-99,1,-99,4,1,3,1,1,31,1,2
0,8/6/21 11:16,8/6/21 11:24,16,172.58.44.219,100,473,1,8/6/21 13:44,R_oMpZ1pqqWo3luus,,,,,47.21090698,-122.4147034,,EN,1,2,,2,1,1,0,2,2,1,2,2,2,1,1,2,,,1,1,2,1,2,1,-99,-99,-99,-99,-99,1,-99,-99,-99,3,2,3,3,1,46,3,2
0,8/6/21 12:53,8/6/21 13:01,16,172.58.44.219,100,524,1,8/6/21 13:44,R_gB7bcdK54KiPaoe,,,,,47.21090698,-122.4147034,,EN,1,2,,2,1,1,4,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,-99,-99,-99,-99,-99,1,-99,1,-99,2,1,2,2,1,32,3,2
0,8/6/21 13:24,8/6/21 13:27,16,172.58.44.219,100,143,1,8/6/21 13:44,R_c4Igks8HWWNEYF3,,,,,47.21090698,-122.4147034,,EN,1,2,,2,1,2,-99,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,4,1,46,1,2
0,8/10/21 13:01,8/10/21 13:07,16,107.242.125.47,100,369,1,8/10/21 13:07,R_08ZxVZoP2bK66Hs,,,,,32.73190308,-96.90570068,,EN,1,1,,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,1,2,4,2,1,1,57,4,1
